id,preset_type,number,name,fixture_ids,channel_ids,patch_target_keys,fixture_details,references,source_file
preset:0.70:Tram_Analyz_preset_0.xml:49,0,0.70,Labus vilda stred,101 102 201 202,,fixture:101 | fixture:102 | fixture:201 | fixture:202,101 | Fixture 101 || 102 | Fixture 102 || 201 | Fixture 201 || 202 | Fixture 202,,exports\Tram_Analyz_preset_0.xml
preset:0.71:Tram_Analyz_preset_0.xml:50,0,0.71,Labus vrch,104 105,,fixture:104 | fixture:105,104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,exports\Tram_Analyz_preset_0.xml
preset:0.72:Tram_Analyz_preset_0.xml:51,0,0.72,Pravy Schody,103,,fixture:103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,exports\Tram_Analyz_preset_0.xml
preset:0.73:Tram_Analyz_preset_0.xml:52,0,0.73,Pravy schody 2,103,,fixture:103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,exports\Tram_Analyz_preset_0.xml
preset:0.75:Tram_Analyz_preset_0.xml:53,0,0.75,bert solo,101 102,,fixture:101 | fixture:102,101 | Fixture 101 || 102 | Fixture 102,,exports\Tram_Analyz_preset_0.xml
preset:0.76:Tram_Analyz_preset_0.xml:54,0,0.76,Bert na stred,101 102,,fixture:101 | fixture:102,101 | Fixture 101 || 102 | Fixture 102,,exports\Tram_Analyz_preset_0.xml
preset:0.78:Tram_Analyz_preset_0.xml:55,0,0.78,Bert zjeveni,21 2 3 4 5 6 7 8 22 23 24 25 26 27 28 29 30 31 32 40 101 102 201 202,,fixture:21 | subfixture:21:2 | subfixture:21:3 | subfixture:21:4 | subfixture:21:5 | subfixture:21:6 | subfixture:21:7 | subfixture:21:8 | fixture:22 | subfixture:22:2 | subfixture:22:3 | subfixture:22:4 | subfixture:22:5 | subfixture:22:6 | subfixture:22:7 | subfixture:22:8 | fixture:23 | subfixture:23:2 | subfixture:23:3 | subfixture:23:4 | subfixture:23:5 | subfixture:23:6 | subfixture:23:7 | subfixture:23:8 | fixture:24 | subfixture:24:2 | subfixture:24:3 | subfixture:24:4 | subfixture:24:5 | subfixture:24:6 | subfixture:24:7 | subfixture:24:8 | fixture:25 | subfixture:25:2 | subfixture:25:3 | subfixture:25:4 | subfixture:25:5 | subfixture:25:6 | subfixture:25:7 | subfixture:25:8 | fixture:26 | subfixture:26:2 | subfixture:26:3 | subfixture:26:4 | subfixture:26:5 | subfixture:26:6 | subfixture:26:7 | subfixture:26:8 | fixture:27 | subfixture:27:2 | subfixture:27:3 | subfixture:27:4 | subfixture:27:5 | subfixture:27:6 | subfixture:27:7 | subfixture:27:8 | fixture:28 | subfixture:28:2 | subfixture:28:3 | subfixture:28:4 | subfixture:28:5 | subfixture:28:6 | subfixture:28:7 | subfixture:28:8 | fixture:29 | subfixture:29:2 | subfixture:29:3 | subfixture:29:4 | subfixture:29:5 | subfixture:29:6 | subfixture:29:7 | subfixture:29:8 | fixture:30 | subfixture:30:2 | subfixture:30:3 | subfixture:30:4 | subfixture:30:5 | subfixture:30:6 | subfixture:30:7 | subfixture:30:8 | fixture:31 | subfixture:31:2 | subfixture:31:3 | subfixture:31:4 | subfixture:31:5 | subfixture:31:6 | subfixture:31:7 | subfixture:31:8 | fixture:32 | subfixture:32:2 | subfixture:32:3 | subfixture:32:4 | subfixture:32:5 | subfixture:32:6 | subfixture:32:7 | subfixture:32:8 | fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8 | fixture:101 | subfixture:101:2 | fixture:102 | subfixture:102:2 | subfixture:201:2 | subfixture:202:2,21 | Fixture 21 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 40 | Fixture 40 || 101 | Fixture 101 || 102 | Fixture 102 || 201 | Fixture 201 || 202 | Fixture 202,,exports\Tram_Analyz_preset_0.xml
preset:0.81:Tram_Analyz_preset_0.xml:56,0,0.81,Svicka_Ksicht,101 102,,fixture:101 | fixture:102,101 | Fixture 101 || 102 | Fixture 102,,exports\Tram_Analyz_preset_0.xml
preset:2.1:Tram_Analyz_preset_2.xml:1,2,2.1,Preset 2.1,101 102,,fixture:101 | fixture:102,101 | Fixture 101 || 102 | Fixture 102,,exports\Tram_Analyz_preset_2.xml
preset:2.31:Tram_Analyz_preset_2.xml:2,2,2.31,White,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.32:Tram_Analyz_preset_2.xml:3,2,2.32,Red,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.33:Tram_Analyz_preset_2.xml:4,2,2.33,Orange,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.34:Tram_Analyz_preset_2.xml:5,2,2.34,Yellow,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.35:Tram_Analyz_preset_2.xml:6,2,2.35,Fern Green,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.36:Tram_Analyz_preset_2.xml:7,2,2.36,Green,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.37:Tram_Analyz_preset_2.xml:8,2,2.37,Sea Green,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.38:Tram_Analyz_preset_2.xml:9,2,2.38,Cyan,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.39:Tram_Analyz_preset_2.xml:10,2,2.39,Lavender,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.40:Tram_Analyz_preset_2.xml:11,2,2.40,Blue,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.41:Tram_Analyz_preset_2.xml:12,2,2.41,Violet,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.42:Tram_Analyz_preset_2.xml:13,2,2.42,Magenta,,,,,,exports\Tram_Analyz_preset_2.xml
preset:2.43:Tram_Analyz_preset_2.xml:14,2,2.43,Pink,,,,,,exports\Tram_Analyz_preset_2.xml
preset:4.1:Tram_Analyz_preset_4.xml:1,4,4.1,Light orange,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,,fixture:1 | subfixture:1:2 | subfixture:1:3 | subfixture:1:4 | subfixture:1:5 | subfixture:1:6 | subfixture:1:7 | subfixture:1:8 | fixture:2 | subfixture:2:2 | subfixture:2:3 | subfixture:2:4 | subfixture:2:5 | subfixture:2:6 | subfixture:2:7 | subfixture:2:8 | fixture:3 | subfixture:3:2 | subfixture:3:3 | subfixture:3:4 | subfixture:3:5 | subfixture:3:6 | subfixture:3:7 | subfixture:3:8 | fixture:4 | subfixture:4:2 | subfixture:4:3 | subfixture:4:4 | subfixture:4:5 | subfixture:4:6 | subfixture:4:7 | subfixture:4:8 | fixture:5 | subfixture:5:2 | subfixture:5:3 | subfixture:5:4 | subfixture:5:5 | subfixture:5:6 | subfixture:5:7 | subfixture:5:8 | fixture:6 | subfixture:6:2 | subfixture:6:3 | subfixture:6:4 | subfixture:6:5 | subfixture:6:6 | subfixture:6:7 | subfixture:6:8 | fixture:7 | subfixture:7:2 | subfixture:7:3 | subfixture:7:4 | subfixture:7:5 | subfixture:7:6 | subfixture:7:7 | subfixture:7:8 | fixture:8 | subfixture:8:2 | subfixture:8:3 | subfixture:8:4 | subfixture:8:5 | subfixture:8:6 | subfixture:8:7 | subfixture:8:8 | fixture:9 | subfixture:9:2 | subfixture:9:3 | subfixture:9:4 | subfixture:9:5 | subfixture:9:6 | subfixture:9:7 | subfixture:9:8 | fixture:10 | subfixture:10:2 | subfixture:10:3 | subfixture:10:4 | subfixture:10:5 | subfixture:10:6 | subfixture:10:7 | subfixture:10:8 | fixture:11 | subfixture:11:2 | subfixture:11:3 | subfixture:11:4 | subfixture:11:5 | subfixture:11:6 | subfixture:11:7 | subfixture:11:8 | fixture:12 | subfixture:12:2 | subfixture:12:3 | subfixture:12:4 | subfixture:12:5 | subfixture:12:6 | subfixture:12:7 | subfixture:12:8 | fixture:13 | subfixture:13:2 | subfixture:13:3 | subfixture:13:4 | subfixture:13:5 | subfixture:13:6 | subfixture:13:7 | subfixture:13:8 | fixture:14 | subfixture:14:2 | subfixture:14:3 | subfixture:14:4 | subfixture:14:5 | subfixture:14:6 | subfixture:14:7 | subfixture:14:8 | fixture:15 | subfixture:15:2 | subfixture:15:3 | subfixture:15:4 | subfixture:15:5 | subfixture:15:6 | subfixture:15:7 | subfixture:15:8 | fixture:16 | subfixture:16:2 | subfixture:16:3 | subfixture:16:4 | subfixture:16:5 | subfixture:16:6 | subfixture:16:7 | subfixture:16:8 | fixture:17 | subfixture:17:2 | subfixture:17:3 | subfixture:17:4 | subfixture:17:5 | subfixture:17:6 | subfixture:17:7 | subfixture:17:8 | fixture:18 | subfixture:18:2 | subfixture:18:3 | subfixture:18:4 | subfixture:18:5 | subfixture:18:6 | subfixture:18:7 | subfixture:18:8 | fixture:19 | subfixture:19:2 | subfixture:19:3 | subfixture:19:4 | subfixture:19:5 | subfixture:19:6 | subfixture:19:7 | subfixture:19:8 | fixture:20 | subfixture:20:2 | subfixture:20:3 | subfixture:20:4 | subfixture:20:5 | subfixture:20:6 | subfixture:20:7 | subfixture:20:8 | fixture:21 | subfixture:21:2 | subfixture:21:3 | subfixture:21:4 | subfixture:21:5 | subfixture:21:6 | subfixture:21:7 | subfixture:21:8 | fixture:22 | subfixture:22:2 | subfixture:22:3 | subfixture:22:4 | subfixture:22:5 | subfixture:22:6 | subfixture:22:7 | subfixture:22:8 | fixture:23 | subfixture:23:2 | subfixture:23:3 | subfixture:23:4 | subfixture:23:5 | subfixture:23:6 | subfixture:23:7 | subfixture:23:8 | fixture:24 | subfixture:24:2 | subfixture:24:3 | subfixture:24:4 | subfixture:24:5 | subfixture:24:6 | subfixture:24:7 | subfixture:24:8 | fixture:25 | subfixture:25:2 | subfixture:25:3 | subfixture:25:4 | subfixture:25:5 | subfixture:25:6 | subfixture:25:7 | subfixture:25:8 | fixture:26 | subfixture:26:2 | subfixture:26:3 | subfixture:26:4 | subfixture:26:5 | subfixture:26:6 | subfixture:26:7 | subfixture:26:8 | fixture:27 | subfixture:27:2 | subfixture:27:3 | subfixture:27:4 | subfixture:27:5 | subfixture:27:6 | subfixture:27:7 | subfixture:27:8 | fixture:28 | subfixture:28:2 | subfixture:28:3 | subfixture:28:4 | subfixture:28:5 | subfixture:28:6 | subfixture:28:7 | subfixture:28:8 | fixture:29 | subfixture:29:2 | subfixture:29:3 | subfixture:29:4 | subfixture:29:5 | subfixture:29:6 | subfixture:29:7 | subfixture:29:8 | fixture:30 | subfixture:30:2 | subfixture:30:3 | subfixture:30:4 | subfixture:30:5 | subfixture:30:6 | subfixture:30:7 | subfixture:30:8 | fixture:31 | subfixture:31:2 | subfixture:31:3 | subfixture:31:4 | subfixture:31:5 | subfixture:31:6 | subfixture:31:7 | subfixture:31:8 | fixture:32 | subfixture:32:2 | subfixture:32:3 | subfixture:32:4 | subfixture:32:5 | subfixture:32:6 | subfixture:32:7 | subfixture:32:8 | fixture:33 | subfixture:33:2 | subfixture:33:3 | subfixture:33:4 | subfixture:33:5 | subfixture:33:6 | subfixture:33:7 | subfixture:33:8 | fixture:34 | subfixture:34:2 | subfixture:34:3 | subfixture:34:4 | subfixture:34:5 | subfixture:34:6 | subfixture:34:7 | subfixture:34:8 | fixture:35 | subfixture:35:2 | subfixture:35:3 | subfixture:35:4 | subfixture:35:5 | subfixture:35:6 | subfixture:35:7 | subfixture:35:8 | fixture:36 | subfixture:36:2 | subfixture:36:3 | subfixture:36:4 | subfixture:36:5 | subfixture:36:6 | subfixture:36:7 | subfixture:36:8 | fixture:37 | subfixture:37:2 | subfixture:37:3 | subfixture:37:4 | subfixture:37:5 | subfixture:37:6 | subfixture:37:7 | subfixture:37:8 | fixture:38 | subfixture:38:2 | subfixture:38:3 | subfixture:38:4 | subfixture:38:5 | subfixture:38:6 | subfixture:38:7 | subfixture:38:8 | fixture:39 | subfixture:39:2 | subfixture:39:3 | subfixture:39:4 | subfixture:39:5 | subfixture:39:6 | subfixture:39:7 | subfixture:39:8 | fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8,1 | Fixture 1 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18 || 19 | Fixture 19 || 20 | Fixture 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 33 | Fixture 33 || 34 | Fixture 34 || 35 | Fixture 35 || 36 | Fixture 36 || 37 | Fixture 37 || 38 | Fixture 38 || 39 | Fixture 39 || 40 | Fixture 40,,exports\Tram_Analyz_preset_4.xml
preset:4.2:Tram_Analyz_preset_4.xml:2,4,4.2,Light blue,101 102 103 104 105 106 107 108 201 202,,fixture:101 | fixture:102 | fixture:103 | fixture:104 | fixture:105 | fixture:106 | fixture:107 | fixture:108 | fixture:201 | fixture:202,101 | Fixture 101 || 102 | Fixture 102 || 103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 107 | RSpiide3 7 | 7 Robin Spiider Mode 3 | 4.271 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | Fixture 201 || 202 | Fixture 202,,exports\Tram_Analyz_preset_4.xml
preset:4.3:Tram_Analyz_preset_4.xml:3,4,4.3,orange,101 102 103 104 105 106 108 201 202,,fixture:101 | fixture:102 | fixture:103 | fixture:104 | fixture:105 | fixture:106 | fixture:108 | fixture:201 | fixture:202,101 | Fixture 101 || 102 | Fixture 102 || 103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067 || 104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133 || 106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166 || 108 | RSpiide3 8 | 7 Robin Spiider Mode 3 | 4.304 || 201 | Fixture 201 || 202 | Fixture 202,,exports\Tram_Analyz_preset_4.xml
preset:4.10:Tram_Analyz_preset_4.xml:4,4,4.10,orange,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,,fixture:1 | subfixture:1:2 | subfixture:1:3 | subfixture:1:4 | subfixture:1:5 | subfixture:1:6 | subfixture:1:7 | subfixture:1:8 | fixture:2 | subfixture:2:2 | subfixture:2:3 | subfixture:2:4 | subfixture:2:5 | subfixture:2:6 | subfixture:2:7 | subfixture:2:8 | fixture:3 | subfixture:3:2 | subfixture:3:3 | subfixture:3:4 | subfixture:3:5 | subfixture:3:6 | subfixture:3:7 | subfixture:3:8 | fixture:4 | subfixture:4:2 | subfixture:4:3 | subfixture:4:4 | subfixture:4:5 | subfixture:4:6 | subfixture:4:7 | subfixture:4:8 | fixture:5 | subfixture:5:2 | subfixture:5:3 | subfixture:5:4 | subfixture:5:5 | subfixture:5:6 | subfixture:5:7 | subfixture:5:8 | fixture:6 | subfixture:6:2 | subfixture:6:3 | subfixture:6:4 | subfixture:6:5 | subfixture:6:6 | subfixture:6:7 | subfixture:6:8 | fixture:7 | subfixture:7:2 | subfixture:7:3 | subfixture:7:4 | subfixture:7:5 | subfixture:7:6 | subfixture:7:7 | subfixture:7:8 | fixture:8 | subfixture:8:2 | subfixture:8:3 | subfixture:8:4 | subfixture:8:5 | subfixture:8:6 | subfixture:8:7 | subfixture:8:8 | fixture:9 | subfixture:9:2 | subfixture:9:3 | subfixture:9:4 | subfixture:9:5 | subfixture:9:6 | subfixture:9:7 | subfixture:9:8 | fixture:10 | subfixture:10:2 | subfixture:10:3 | subfixture:10:4 | subfixture:10:5 | subfixture:10:6 | subfixture:10:7 | subfixture:10:8 | fixture:11 | subfixture:11:2 | subfixture:11:3 | subfixture:11:4 | subfixture:11:5 | subfixture:11:6 | subfixture:11:7 | subfixture:11:8 | fixture:12 | subfixture:12:2 | subfixture:12:3 | subfixture:12:4 | subfixture:12:5 | subfixture:12:6 | subfixture:12:7 | subfixture:12:8 | fixture:13 | subfixture:13:2 | subfixture:13:3 | subfixture:13:4 | subfixture:13:5 | subfixture:13:6 | subfixture:13:7 | subfixture:13:8 | fixture:14 | subfixture:14:2 | subfixture:14:3 | subfixture:14:4 | subfixture:14:5 | subfixture:14:6 | subfixture:14:7 | subfixture:14:8 | fixture:15 | subfixture:15:2 | subfixture:15:3 | subfixture:15:4 | subfixture:15:5 | subfixture:15:6 | subfixture:15:7 | subfixture:15:8 | fixture:16 | subfixture:16:2 | subfixture:16:3 | subfixture:16:4 | subfixture:16:5 | subfixture:16:6 | subfixture:16:7 | subfixture:16:8 | fixture:17 | subfixture:17:2 | subfixture:17:3 | subfixture:17:4 | subfixture:17:5 | subfixture:17:6 | subfixture:17:7 | subfixture:17:8 | fixture:18 | subfixture:18:2 | subfixture:18:3 | subfixture:18:4 | subfixture:18:5 | subfixture:18:6 | subfixture:18:7 | subfixture:18:8 | fixture:19 | subfixture:19:2 | subfixture:19:3 | subfixture:19:4 | subfixture:19:5 | subfixture:19:6 | subfixture:19:7 | subfixture:19:8 | fixture:20 | subfixture:20:2 | subfixture:20:3 | subfixture:20:4 | subfixture:20:5 | subfixture:20:6 | subfixture:20:7 | subfixture:20:8 | fixture:21 | subfixture:21:2 | subfixture:21:3 | subfixture:21:4 | subfixture:21:5 | subfixture:21:6 | subfixture:21:7 | subfixture:21:8 | fixture:22 | subfixture:22:2 | subfixture:22:3 | subfixture:22:4 | subfixture:22:5 | subfixture:22:6 | subfixture:22:7 | subfixture:22:8 | fixture:23 | subfixture:23:2 | subfixture:23:3 | subfixture:23:4 | subfixture:23:5 | subfixture:23:6 | subfixture:23:7 | subfixture:23:8 | fixture:24 | subfixture:24:2 | subfixture:24:3 | subfixture:24:4 | subfixture:24:5 | subfixture:24:6 | subfixture:24:7 | subfixture:24:8 | fixture:25 | subfixture:25:2 | subfixture:25:3 | subfixture:25:4 | subfixture:25:5 | subfixture:25:6 | subfixture:25:7 | subfixture:25:8 | fixture:26 | subfixture:26:2 | subfixture:26:3 | subfixture:26:4 | subfixture:26:5 | subfixture:26:6 | subfixture:26:7 | subfixture:26:8 | fixture:27 | subfixture:27:2 | subfixture:27:3 | subfixture:27:4 | subfixture:27:5 | subfixture:27:6 | subfixture:27:7 | subfixture:27:8 | fixture:28 | subfixture:28:2 | subfixture:28:3 | subfixture:28:4 | subfixture:28:5 | subfixture:28:6 | subfixture:28:7 | subfixture:28:8 | fixture:29 | subfixture:29:2 | subfixture:29:3 | subfixture:29:4 | subfixture:29:5 | subfixture:29:6 | subfixture:29:7 | subfixture:29:8 | fixture:30 | subfixture:30:2 | subfixture:30:3 | subfixture:30:4 | subfixture:30:5 | subfixture:30:6 | subfixture:30:7 | subfixture:30:8 | fixture:31 | subfixture:31:2 | subfixture:31:3 | subfixture:31:4 | subfixture:31:5 | subfixture:31:6 | subfixture:31:7 | subfixture:31:8 | fixture:32 | subfixture:32:2 | subfixture:32:3 | subfixture:32:4 | subfixture:32:5 | subfixture:32:6 | subfixture:32:7 | subfixture:32:8 | fixture:33 | subfixture:33:2 | subfixture:33:3 | subfixture:33:4 | subfixture:33:5 | subfixture:33:6 | subfixture:33:7 | subfixture:33:8 | fixture:34 | subfixture:34:2 | subfixture:34:3 | subfixture:34:4 | subfixture:34:5 | subfixture:34:6 | subfixture:34:7 | subfixture:34:8 | fixture:35 | subfixture:35:2 | subfixture:35:3 | subfixture:35:4 | subfixture:35:5 | subfixture:35:6 | subfixture:35:7 | subfixture:35:8 | fixture:36 | subfixture:36:2 | subfixture:36:3 | subfixture:36:4 | subfixture:36:5 | subfixture:36:6 | subfixture:36:7 | subfixture:36:8 | fixture:37 | subfixture:37:2 | subfixture:37:3 | subfixture:37:4 | subfixture:37:5 | subfixture:37:6 | subfixture:37:7 | subfixture:37:8 | fixture:38 | subfixture:38:2 | subfixture:38:3 | subfixture:38:4 | subfixture:38:5 | subfixture:38:6 | subfixture:38:7 | subfixture:38:8 | fixture:39 | subfixture:39:2 | subfixture:39:3 | subfixture:39:4 | subfixture:39:5 | subfixture:39:6 | subfixture:39:7 | subfixture:39:8 | fixture:40 | subfixture:40:2 | subfixture:40:3 | subfixture:40:4 | subfixture:40:5 | subfixture:40:6 | subfixture:40:7 | subfixture:40:8,1 | Fixture 1 || 2 | Fixture 2 || 3 | Fixture 3 || 4 | Fixture 4 || 5 | Fixture 5 || 6 | Fixture 6 || 7 | Fixture 7 || 8 | Fixture 8 || 9 | Fixture 9 || 10 | Fixture 10 || 11 | Fixture 11 || 12 | Fixture 12 || 13 | Fixture 13 || 14 | Fixture 14 || 15 | Fixture 15 || 16 | Fixture 16 || 17 | Fixture 17 || 18 | Fixture 18 || 19 | Fixture 19 || 20 | Fixture 20 || 21 | Fixture 21 || 22 | Fixture 22 || 23 | Fixture 23 || 24 | Fixture 24 || 25 | Fixture 25 || 26 | Fixture 26 || 27 | Fixture 27 || 28 | Fixture 28 || 29 | Fixture 29 || 30 | Fixture 30 || 31 | Fixture 31 || 32 | Fixture 32 || 33 | Fixture 33 || 34 | Fixture 34 || 35 | Fixture 35 || 36 | Fixture 36 || 37 | Fixture 37 || 38 | Fixture 38 || 39 | Fixture 39 || 40 | Fixture 40,,exports\Tram_Analyz_preset_4.xml
